plaintext	voltage
9a74c48b219464c13a62b669627f850a1d2dc195f6d8a92f3cfdde5a117b4446	2.5128
296137068e7ab2062df518cb866e3cd1a6f2abb0bbcaab12bbc0815dc31fd3d9	2.5128
0f46d0ba5f45edae962a08aba09a7893658a0c1beaaabbfcb5c717b9d1c968fa	2.5131
3456f1b6cf96eb1a5aee7e1f30aa42abfe3b9b6ce6fbe3c01f7d36e1a3fa5434	2.5127
00fe7a5a8ce07ee0a96ba1cd62076cc4778be51760fbeae85de60912720f8374	2.5126
a1966fde5b295431c35b72f79e8bead374a568b4e1c16723fbefaf1f882ee2c6	2.5125
f9659889e4f27e8d3da277a91760d5a380f60df63dbe53957a2628b75dbdf6e3	2.5118
34a12aa63f17574c15ee0c320f6157dec50fd4c425137a26eccedb6ffe7dc6d6	2.5122
e0ecc4c7ba8e1a00a2cc3f9a63aea74ee4ccdd2a818550107ccc3e772fcaa5d7	2.5126
eb4151e731e9238e3b974375144a8cc2b62cac453464df58f08f1db497d5de40	2.512
dffb08f8a3d91584d3734011a87f338eadda847f20999bed871ea635c5fe2754	2.5123
7051f44da1d42fa36139937d4dcbb3847c57120f45eba84c3e17151129a46109	2.5136
14b24565a2fa844e241a4a2b4d3e18c2e10c93ef38b52ba0394f60ffdf034019	2.5128
2b79eb54c4147eabeced03c8bcc85e3833982c4308324b60069d4ec80f68b053	2.5128
f9aac72f04654487cc06da486504fb4199f29121a6b122019f973a6ca5ba10f5	2.5131
3773f533be70910fc52f05a48cef756ed5aa9569a8e5c37a36e02f43c2723e5a	2.5123
ae47109a34d2ecb04828094d5d3aad80eb9cff7db90da15180cec964ab4a9ac4	2.5125
9377a2ed4502c97a893a679ceeba716681b8c8f38706838d459ebe726a189107	2.5127
4f3fd5f975c9488058e95d0090c19a6488ebb54d2d6a79b8afdd65a67acbec32	2.5126
6cbe7a783224eeb56ca0f452a24c9d31f219da5b6e460e8df0146103139e079b	2.5138
9b006197d23e321ffbff830e1a3d16f32bf4a5033e2e6f9adedeef53af59d68c	2.512
022aebf6fc0805169e111e4f1dcc77c8bdac7e06e5a1db0871dfbbc9abca5816	2.5127
5aca8a12832c8b66762e1cf71b8812c4c9e6c2398b2d0c1e1801382b6f622e27	2.5118
